 Date,EURUSD Open,EURUSD Low,EURUSD High,EURUSD Close,EURUSD SMA (200D),EURUSD SMA (50D)
09-10-2020,1.1793,1.1793,1.1914,1.1815,1.1199,1.169
09-09-2020,1.1774,1.1753,1.183,1.1803,1.1196,1.1678
09-08-2020,1.1815,1.1766,1.1827,1.1778,1.1192,1.1667
09-07-2020,1.185,1.1812,1.185,1.1817,1.1189,1.1656
09-04-2020,1.1825,1.1781,1.1864,1.1838,1.1185,1.1645
09-03-2020,1.1856,1.1789,1.1864,1.1852,1.118,1.1632
09-02-2020,1.1914,1.1824,1.1929,1.1855,1.1176,1.162
09-01-2020,1.1941,1.1902,1.2007,1.1912,1.1172,1.1608
08-31-2020,1.1905,1.1885,1.1963,1.1937,1.1168,1.1596
08-28-2020,1.1821,1.1812,1.1919,1.1903,1.1163,1.1582
08-27-2020,1.1828,1.1767,1.1898,1.1822,1.1159,1.1568
08-26-2020,1.1834,1.1775,1.1839,1.183,1.1155,1.1555
08-25-2020,1.1789,1.1785,1.1842,1.1834,1.1151,1.1543
08-24-2020,1.1697,1.1697,1.1849,1.1788,1.1147,1.1532
08-21-2020,1.1835,1.1755,1.1882,1.1795,1.1144,1.1523
08-20-2020,1.1838,1.1804,1.1869,1.186,1.114,1.1512
08-19-2020,1.1941,1.1833,1.1952,1.1838,1.1136,1.1501
08-18-2020,1.1866,1.1866,1.1965,1.1931,1.1131,1.1491
08-17-2020,1.1841,1.183,1.1881,1.1871,1.1127,1.148
08-14-2020,1.1819,1.1784,1.185,1.1839,1.1123,1.1468
08-13-2020,1.1787,1.178,1.1862,1.1814,1.1119,1.1457
08-12-2020,1.174,1.1712,1.1814,1.1785,1.1115,1.1447
08-11-2020,1.1761,1.1723,1.1803,1.174,1.1111,1.1436
08-10-2020,1.1786,1.1736,1.1799,1.1737,1.1108,1.1425
08-07-2020,1.1876,1.1756,1.1906,1.1785,1.1106,1.1413
08-06-2020,1.1876,1.1821,1.1911,1.1877,1.1102,1.1399
08-05-2020,1.1793,1.1793,1.1904,1.1864,1.1099,1.1383
08-04-2020,1.1762,1.1724,1.1804,1.1803,1.1095,1.1366
08-03-2020,1.1774,1.1701,1.1796,1.1762,1.1091,1.135
07-31-2020,1.1847,1.1766,1.1906,1.1774,1.1088,1.1333
07-30-2020,1.1791,1.1732,1.1848,1.1847,1.1085,1.1315
07-29-2020,1.1716,1.1714,1.1804,1.1792,1.1081,1.1297
07-28-2020,1.175,1.1701,1.1773,1.1717,1.1078,1.1281
07-27-2020,1.1646,1.1643,1.1778,1.1751,1.1075,1.1265
07-24-2020,1.1622,1.1582,1.1657,1.1655,1.1072,1.1248
07-23-2020,1.1599,1.1542,1.1626,1.1597,1.1069,1.1232
07-22-2020,1.1514,1.1514,1.16,1.1571,1.1067,1.1216
07-21-2020,1.1447,1.1426,1.154,1.1527,1.1064,1.1201
07-20-2020,1.1448,1.1447,1.1449,1.1448,1.1062,1.1187
07-17-2020,1.1385,1.1377,1.1443,1.1437,1.1059,1.1174
07-16-2020,1.1409,1.1371,1.144,1.1383,1.1057,1.1162
07-15-2020,1.1398,1.1392,1.1452,1.1412,1.1055,1.1151
07-14-2020,1.1342,1.1326,1.1409,1.14,1.1053,1.1139
07-13-2020,1.1306,1.1301,1.1375,1.1343,1.1051,1.1128
07-10-2020,1.1285,1.1255,1.1324,1.1298,1.1049,1.1119
07-09-2020,1.133,1.1281,1.137,1.1285,1.1047,1.1113
07-08-2020,1.1277,1.1263,1.1349,1.133,1.1046,1.1106
07-07-2020,1.1309,1.126,1.1331,1.1275,1.1044,1.1097
07-06-2020,1.1244,1.1244,1.1345,1.1308,1.1042,1.1088
07-03-2020,1.1237,1.122,1.1252,1.1251,1.104,1.1078
07-02-2020,1.1252,1.1225,1.1303,1.1239,1.1038,1.107
07-01-2020,1.1234,1.1189,1.1274,1.1252,1.1037,1.106
06-30-2020,1.1242,1.1191,1.1261,1.1233,1.1036,1.1052
06-29-2020,1.1222,1.1219,1.1288,1.1242,1.1035,1.1044
06-26-2020,1.1218,1.1197,1.1239,1.1221,1.1033,1.1037
06-25-2020,1.1252,1.1192,1.1259,1.1217,1.1032,1.103
06-24-2020,1.1308,1.1249,1.1325,1.1251,1.1032,1.1022
06-23-2020,1.1262,1.1234,1.1349,1.1309,1.1031,1.1015
06-22-2020,1.1186,1.1169,1.1269,1.1262,1.1029,1.1009
06-19-2020,1.1205,1.1169,1.1252,1.1174,1.1028,1.1002
06-18-2020,1.1244,1.1186,1.1261,1.1205,1.1028,1.0997
06-17-2020,1.1264,1.121,1.1294,1.1244,1.1027,1.0992
06-16-2020,1.1325,1.123,1.1353,1.1263,1.1026,1.0984
06-15-2020,1.1236,1.1228,1.1332,1.1323,1.1025,1.0976
06-12-2020,1.1295,1.1213,1.1339,1.1254,1.1023,1.0966
06-11-2020,1.1374,1.1289,1.14,1.1298,1.1022,1.0957
06-10-2020,1.1342,1.1332,1.1422,1.1375,1.1021,1.0948
06-09-2020,1.1296,1.1243,1.1364,1.1338,1.1019,1.094
06-08-2020,1.1295,1.1269,1.1319,1.1294,1.1017,1.0934
06-05-2020,1.1338,1.1279,1.1384,1.1287,1.1015,1.0929
06-04-2020,1.1233,1.1195,1.1361,1.1337,1.1014,1.0926
06-03-2020,1.1171,1.1167,1.1251,1.1234,1.1013,1.0919
06-02-2020,1.1135,1.1116,1.1195,1.117,1.1012,1.0912
06-01-2020,1.1119,1.1101,1.1151,1.1136,1.1012,1.0905
05-29-2020,1.1072,1.107,1.1145,1.1106,1.1012,1.0897
05-28-2020,1.1003,1.0993,1.1093,1.1078,1.1012,1.0888
05-27-2020,1.0983,1.0936,1.1029,1.1009,1.1012,1.0881
05-26-2020,1.0897,1.0893,1.0996,1.0982,1.1012,1.0879
05-25-2020,1.0896,1.0871,1.0914,1.0897,1.1013,1.0879
05-22-2020,1.095,1.0886,1.0954,1.0903,1.1014,1.0885
05-21-2020,1.0979,1.094,1.1008,1.095,1.1015,1.0889
05-20-2020,1.0923,1.0919,1.0999,1.0979,1.1016,1.0894
05-19-2020,1.0917,1.0903,1.0976,1.0924,1.1017,1.09
05-18-2020,1.0811,1.08,1.0925,1.0916,1.1018,1.0907
05-15-2020,1.0806,1.079,1.0848,1.0818,1.1019,1.0917
05-14-2020,1.0818,1.0776,1.0824,1.0805,1.1021,1.0927
05-13-2020,1.0848,1.0812,1.0891,1.0818,1.1023,1.0936
05-12-2020,1.0807,1.0785,1.0884,1.0848,1.1025,1.0942
05-11-2020,1.0825,1.0804,1.085,1.0807,1.1027,1.0949
05-08-2020,1.0833,1.0817,1.0875,1.0838,1.1028,1.0955
05-07-2020,1.0794,1.0768,1.0834,1.0834,1.103,1.0959
05-06-2020,1.0841,1.0782,1.0846,1.0796,1.1031,1.0962
05-05-2020,1.0907,1.0834,1.0915,1.0837,1.1033,1.0964
05-04-2020,1.0971,1.0896,1.0974,1.0904,1.1034,1.0965
05-01-2020,1.0955,1.0935,1.1016,1.098,1.1035,1.0964
04-30-2020,1.0873,1.0836,1.0965,1.0952,1.1036,1.0961
04-29-2020,1.082,1.0818,1.0885,1.0874,1.1037,1.0958
04-28-2020,1.0831,1.081,1.0888,1.0819,1.1039,1.0957
04-27-2020,1.0823,1.0811,1.086,1.0829,1.104,1.0956
04-24-2020,1.0778,1.0728,1.0819,1.0817,1.1042,1.0957
04-23-2020,1.0823,1.0757,1.084,1.0777,1.1045,1.0957
04-22-2020,1.0858,1.0804,1.0883,1.0823,1.1047,1.0958
04-21-2020,1.0862,1.0819,1.0879,1.0858,1.1049,1.0959
04-20-2020,1.087,1.0842,1.0896,1.0863,1.1051,1.096
04-17-2020,1.0839,1.0813,1.0891,1.0874,1.1053,1.0961
04-16-2020,1.091,1.0817,1.0911,1.0839,1.1055,1.0963
04-15-2020,1.0979,1.0858,1.099,1.0909,1.1057,1.0966
04-14-2020,1.0913,1.0905,1.0986,1.0981,1.1058,1.0967
04-13-2020,1.0946,1.0894,1.0967,1.0909,1.106,1.0969
04-10-2020,1.093,1.092,1.0952,1.0938,1.1061,1.0972
04-09-2020,1.0857,1.0841,1.0952,1.0929,1.1063,1.0975
04-08-2020,1.0892,1.0832,1.0901,1.0854,1.1065,1.0977
04-07-2020,1.0793,1.0785,1.0923,1.0892,1.1067,1.098
04-06-2020,1.0814,1.077,1.0835,1.0793,1.1069,1.0982
04-03-2020,1.0858,1.0776,1.0862,1.0808,1.1072,1.0987
04-02-2020,1.0965,1.0822,1.0968,1.0858,1.1074,1.0991
04-01-2020,1.1034,1.0904,1.1038,1.0964,1.1077,1.0995
03-31-2020,1.1048,1.0929,1.1051,1.1031,1.1079,1.0998
03-30-2020,1.1119,1.1012,1.1144,1.1045,1.1081,1.0999
03-27-2020,1.103,1.0957,1.1146,1.1134,1.1082,1.1
03-26-2020,1.0881,1.0871,1.1058,1.1032,1.1083,1.0999
03-25-2020,1.0786,1.0766,1.0894,1.0882,1.1084,1.1001
03-24-2020,1.0722,1.0722,1.0887,1.0788,1.1086,1.1007
03-23-2020,1.0708,1.0639,1.0827,1.0728,1.1088,1.1014
03-20-2020,1.0692,1.0638,1.083,1.0696,1.109,1.1022
03-19-2020,1.0905,1.0656,1.0978,1.0692,1.1093,1.103
03-18-2020,1.0997,1.0803,1.1045,1.0914,1.1096,1.1039
03-17-2020,1.1184,1.0958,1.1189,1.0999,1.1098,1.1042
03-16-2020,1.1107,1.1088,1.1236,1.1181,1.11,1.1045
03-13-2020,1.1186,1.1056,1.122,1.1109,1.1101,1.1046
03-12-2020,1.127,1.1062,1.1333,1.1185,1.1101,1.1047
03-11-2020,1.1279,1.126,1.1365,1.1271,1.1102,1.1046
03-10-2020,1.1427,1.1278,1.1459,1.1282,1.1101,1.1046
03-09-2020,1.1348,1.1337,1.1483,1.1452,1.1101,1.1044
03-06-2020,1.1241,1.1214,1.1353,1.1306,1.11,1.1038
03-05-2020,1.1136,1.1122,1.1228,1.1228,1.1099,1.1034
03-04-2020,1.1173,1.1097,1.1185,1.1136,1.1098,1.1031
03-03-2020,1.1133,1.1098,1.1206,1.1181,1.1099,1.103
03-02-2020,1.1046,1.1037,1.1183,1.1135,1.1099,1.1029
02-28-2020,1.1001,1.0953,1.1052,1.1038,1.1099,1.1028
02-27-2020,1.0884,1.0879,1.1005,1.0993,1.11,1.1029
02-26-2020,1.0882,1.0856,1.0903,1.0885,1.1101,1.1032
02-25-2020,1.0853,1.0831,1.0889,1.0883,1.1102,1.1037
02-24-2020,1.0823,1.0808,1.0872,1.0853,1.1103,1.1042
02-21-2020,1.0785,1.0785,1.0863,1.0849,1.1105,1.1047
02-20-2020,1.0805,1.078,1.0821,1.079,1.1106,1.1053
02-19-2020,1.0792,1.0783,1.081,1.081,1.1109,1.106
02-18-2020,1.0836,1.0787,1.0838,1.0796,1.111,1.1066
02-17-2020,1.0841,1.0829,1.085,1.0833,1.1113,1.1071
02-14-2020,1.0843,1.083,1.0861,1.0837,1.1115,1.1076
02-13-2020,1.0874,1.0836,1.0889,1.0842,1.1117,1.1081
02-12-2020,1.0916,1.0866,1.0926,1.0875,1.1118,1.1086
02-11-2020,1.0911,1.0894,1.0924,1.092,1.112,1.109
02-10-2020,1.0943,1.0909,1.0958,1.0912,1.1121,1.1093
02-07-2020,1.0981,1.0942,1.0985,1.0947,1.1123,1.1095
02-06-2020,1.0999,1.0965,1.1011,1.0979,1.1124,1.1097
02-05-2020,1.1044,1.0994,1.1047,1.0998,1.1125,1.1097
02-04-2020,1.1059,1.1033,1.1064,1.1044,1.1126,1.1098
02-03-2020,1.1094,1.1041,1.1094,1.1058,1.1127,1.1097
01-31-2020,1.1031,1.1017,1.1091,1.109,1.1127,1.1096
01-30-2020,1.1007,1.1007,1.1038,1.1032,1.1127,1.1095
01-29-2020,1.1023,1.0993,1.1027,1.1007,1.1128,1.1096
01-28-2020,1.1019,1.0999,1.1025,1.1022,1.1129,1.1098
01-27-2020,1.1032,1.101,1.1037,1.1017,1.113,1.1099
01-24-2020,1.1054,1.102,1.106,1.1028,1.1131,1.11
01-23-2020,1.1093,1.1037,1.1106,1.1056,1.1132,1.1099
01-22-2020,1.1083,1.1071,1.1096,1.1093,1.1134,1.1098
01-21-2020,1.1094,1.1086,1.1118,1.1087,1.1135,1.1097
01-20-2020,1.1093,1.1077,1.1102,1.1098,1.1136,1.1096
01-17-2020,1.1136,1.1087,1.1142,1.1093,1.1137,1.1094
01-16-2020,1.115,1.1129,1.1171,1.1138,1.1137,1.1093
01-15-2020,1.1129,1.112,1.1163,1.1152,1.1138,1.1092
01-14-2020,1.1134,1.1105,1.1144,1.1128,1.1139,1.109
01-13-2020,1.1119,1.1113,1.1146,1.1138,1.1139,1.109
01-10-2020,1.1105,1.1087,1.1129,1.1121,1.114,1.1091
01-09-2020,1.1105,1.1093,1.112,1.1106,1.114,1.1091
01-08-2020,1.1152,1.1109,1.1167,1.1112,1.1141,1.1092
01-07-2020,1.1194,1.1134,1.1197,1.1144,1.1141,1.1092
01-06-2020,1.1168,1.1157,1.1205,1.1193,1.1142,1.1091
01-03-2020,1.1172,1.1125,1.118,1.1162,1.1142,1.1089
01-02-2020,1.1214,1.1164,1.1225,1.1169,1.1142,1.1088
12-31-2019,1.1199,1.1199,1.1239,1.1233,1.1142,1.1087
12-30-2019,1.1178,1.1173,1.122,1.1198,1.1143,1.1085
12-27-2019,1.1098,1.1096,1.1187,1.1176,1.1143,1.1084
12-26-2019,1.1091,1.1083,1.1109,1.1103,1.1144,1.1084
12-25-2019,1.1086,1.1074,1.1089,1.1084,1.1145,1.1084
12-24-2019,1.1089,1.107,1.1094,1.1086,1.1147,1.1084
12-23-2019,1.1082,1.107,1.1095,1.1092,1.1148,1.1083
12-20-2019,1.1122,1.1067,1.1125,1.1077,1.1149,1.1082
12-19-2019,1.1113,1.1108,1.1144,1.1124,1.1151,1.1081
12-18-2019,1.115,1.1111,1.1154,1.1119,1.1152,1.1078
12-17-2019,1.1154,1.113,1.1174,1.1146,1.1153,1.1076
12-16-2019,1.113,1.1123,1.1157,1.1144,1.1153,1.1072
12-13-2019,1.115,1.1112,1.1198,1.1117,1.1154,1.1068
12-12-2019,1.113,1.1105,1.1154,1.1132,1.1154,1.1065
12-11-2019,1.1089,1.1071,1.1144,1.1139,1.1155,1.1062
12-10-2019,1.1064,1.1063,1.1097,1.1096,1.1155,1.1058
12-09-2019,1.1059,1.1054,1.1078,1.1065,1.1157,1.1055
12-06-2019,1.1104,1.104,1.1109,1.106,1.1158,1.1052
12-05-2019,1.1078,1.1078,1.1108,1.1102,1.1159,1.105
12-04-2019,1.1082,1.1067,1.1112,1.1079,1.1161,1.1046
12-03-2019,1.1079,1.1066,1.1093,1.1081,1.1162,1.1043
12-02-2019,1.1027,1.1004,1.1089,1.1085,1.1164,1.1042
11-29-2019,1.101,1.0982,1.1027,1.1017,1.1165,1.104
